index, id, data, bedrooms, bathrooms, sqft_living, sqft_lot, floors, waterfront, view, condition, grade, sqft_above, sqft_basement, yr_built, yr_renovated, zip_code, lat, lon, sqft_living15, sqft_lot15, price
9397,5104510120,3/27/15,3,2.5,1690,5175,2.0,0,0,3,7,1690,0,2002,0,98038,47.3564,-122.016,1830,5175,305000
8698,7550800915,2/19/15,2,1.0,1000,4000,1.0,0,0,3,6,1000,0,1910,0,98107,47.6742,-122.396,1490,5000,417200
10791,269000030,8/25/14,4,1.5,3120,7680,1.0,0,3,3,8,1660,1460,1956,0,98199,47.646,-122.39,2900,7680,976000
9239,2523039054,2/10/15,3,2.5,4530,22873,2.0,0,2,5,8,3220,1310,1912,0,98166,47.4567,-122.369,3100,18210,1120000
16146,3034200426,3/20/15,3,1.0,1410,9384,1.0,0,0,3,7,1410,0,1948,0,98133,47.7161,-122.33,1990,9384,450500
896,3275780030,3/11/15,4,2.25,2190,9009,2.0,0,0,4,8,1840,350,1977,0,98033,47.6916,-122.188,2190,10251,730000
14637,3622069103,1/23/15,4,2.5,3600,155509,2.0,0,0,3,9,3600,0,2004,0,98010,47.3538,-121.986,3410,34412,760000
18008,5364200620,8/14/14,3,2.25,2390,4590,2.0,0,0,3,8,2090,300,1941,1998,98105,47.6615,-122.276,2280,5179,980000
15893,6671900095,5/27/14,3,1.75,1320,6205,1.0,0,0,5,7,1320,0,1948,0,98133,47.7412,-122.343,1210,6205,313000
707,5231000060,8/5/14,3,1.75,1490,7150,1.0,0,0,5,6,1490,0,1967,0,98059,47.5015,-122.124,1350,9100,310000
19219,1236300214,7/22/14,3,2.5,2190,7982,2.0,0,0,3,8,2190,0,2004,0,98033,47.6869,-122.187,2090,8888,700000
7613,9842300540,6/24/14,3,1.0,1100,4128,1.0,0,0,4,7,720,380,1942,0,98126,47.5296,-122.379,1510,4538,339000
7534,5332200515,2/9/15,3,1.75,2650,5512,2.0,0,0,3,9,2250,400,1984,0,98112,47.6265,-122.295,1440,5100,1050000
6198,6341000221,4/23/15,4,2.0,1340,8190,1.0,0,0,4,7,1340,0,1942,0,98146,47.4905,-122.343,1410,9721,287000
9570,3275310220,12/22/14,3,2.0,1360,9688,1.0,0,0,4,7,1360,0,1983,0,98003,47.2574,-122.31,1390,9685,244000
14550,7146400040,3/12/15,5,3.25,3800,15500,1.0,0,0,3,7,2490,1310,1965,0,98032,47.3862,-122.28,2000,13980,380000
205,9526600140,9/19/14,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.114,2750,4587,677900
21044,982850120,3/3/15,3,2.25,1490,4539,2.0,0,0,3,7,1490,0,2009,0,98028,47.7607,-122.233,1750,4667,390000
18833,7732410120,8/19/14,4,2.5,2690,8036,2.0,0,0,4,9,2690,0,1987,0,98007,47.6596,-122.144,2420,8087,790000
7650,7105600085,10/9/14,3,2.25,1730,13040,1.0,0,0,4,8,1290,440,1988,0,98052,47.6809,-122.119,1730,11016,500000
14714,7202340720,5/20/14,3,2.5,2480,9041,2.0,0,0,3,7,2480,0,2004,0,98053,47.6797,-122.035,2480,6500,620000
1791,6819100310,4/14/15,4,3.0,2420,4800,1.5,0,0,3,7,1520,900,1919,0,98119,47.6453,-122.358,1090,3800,950000
17384,5153900080,7/14/14,3,1.0,1510,9100,1.0,0,0,3,7,1510,0,1966,0,98003,47.3331,-122.319,1180,7220,199000
2677,2768000270,6/25/14,2,0.75,1440,3700,1.0,0,0,3,7,1200,240,1914,0,98107,47.6707,-122.364,1440,4300,562100
3538,7968200090,8/19/14,4,2.5,2210,7214,2.0,0,0,3,8,2210,0,2003,0,98003,47.3554,-122.298,2270,7246,335000
18806,1861400068,9/11/14,2,1.0,860,1800,1.0,0,0,3,7,860,0,1909,0,98119,47.6334,-122.371,2160,3120,390000
16828,2558600130,10/23/14,3,2.5,1500,7420,1.0,0,0,3,7,1000,500,1972,0,98034,47.7236,-122.174,1840,7272,379000
19176,782700150,6/9/14,3,1.75,1440,45302,2.0,0,0,3,7,1440,0,1977,0,98019,47.7078,-121.915,2080,49658,328000
15210,3630030440,9/23/14,4,2.5,1950,3720,2.0,0,0,3,8,1950,0,2004,0,98029,47.5503,-121.997,1720,3720,585000
1005,9264960340,6/17/14,4,2.5,2610,7091,2.0,0,0,3,9,2610,0,1987,0,98023,47.3017,-122.349,2610,7773,325000
16996,8731950080,2/19/15,4,2.25,2930,9840,1.0,0,0,4,8,1560,1370,1977,0,98023,47.3103,-122.382,2800,8374,420000
15756,9279200280,6/23/14,3,2.0,1820,5000,1.5,0,0,4,8,1720,100,1941,0,98116,47.5845,-122.395,2220,7200,750000
10952,3626039250,4/28/15,2,1.0,940,6350,1.0,0,0,4,5,940,0,1942,0,98103,47.698,-122.357,1490,6350,283000
2771,8663260030,11/18/14,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,1987,0,98034,47.7188,-122.177,1650,6014,416000
15256,3296900130,10/7/14,4,2.5,2830,13760,2.0,0,0,3,8,2830,0,1993,0,98019,47.7334,-121.97,2350,14029,518000
16306,3630020430,5/5/15,3,2.5,1470,1445,2.0,0,0,3,8,1160,310,2005,0,98029,47.5468,-121.998,1470,1525,420000
9334,3738900035,8/25/14,2,1.0,860,8189,1.0,0,0,3,6,860,0,1948,0,98155,47.735,-122.306,1180,8189,298800
12759,6979900330,3/25/15,4,2.5,2630,28298,2.0,0,0,3,8,2630,0,1996,0,98053,47.6314,-121.968,2840,26071,650000
11081,1924069105,10/17/14,3,1.75,3150,9258,1.0,0,1,3,8,2370,780,1970,0,98027,47.5571,-122.08,2740,10274,450000
13270,7454000555,1/13/15,2,1.0,670,6300,1.0,0,0,4,6,670,0,1942,0,98126,47.5145,-122.374,740,6300,272000
20271,6306800010,8/11/14,4,2.5,2692,8392,2.0,0,0,3,9,2692,0,2014,0,98030,47.3519,-122.197,2574,14446,436472
4356,3876100940,4/27/15,4,1.75,3050,9440,1.0,0,0,3,8,1800,1250,1966,0,98034,47.7228,-122.183,2020,8660,600000
8616,6073230230,12/31/14,3,2.25,1400,6970,2.0,0,0,3,8,1400,0,1984,0,98006,47.542,-122.184,1800,8140,425000
10764,1472700200,7/9/14,3,1.75,1710,8767,1.0,0,0,4,8,1710,0,1986,0,98033,47.6945,-122.188,2050,9200,630000
9880,2787700060,1/15/15,3,2.5,1810,7210,1.0,0,0,5,7,1210,600,1968,0,98059,47.5067,-122.163,1770,7210,420000
20367,3524039228,7/23/14,3,2.0,1160,3441,1.0,0,0,4,6,580,580,1930,0,98136,47.5314,-122.392,1160,4000,394000
16935,8078460050,7/18/14,4,2.5,2740,11975,2.0,0,0,4,8,2740,0,1991,0,98074,47.6315,-122.028,2310,9068,730000
14080,9808630210,3/13/15,3,2.5,2605,2216,2.0,0,2,3,9,2090,515,1979,0,98033,47.6536,-122.203,2605,2300,789800
12223,1025039320,4/27/15,4,3.5,3440,5000,2.0,0,0,3,11,2560,880,2006,0,98199,47.6672,-122.409,3090,10241,1310000
14146,5153200666,1/14/15,3,2.25,1900,18000,1.0,0,0,4,7,1280,620,1968,0,98023,47.3251,-122.354,1920,15000,212000
16443,8858100020,3/16/15,3,1.0,1480,8415,1.0,0,0,3,7,1080,400,1967,0,98188,47.4585,-122.283,1780,8512,175000
2101,4142450510,7/23/14,3,2.5,1990,3600,2.0,0,0,3,7,1990,0,2004,0,98038,47.3841,-122.041,1790,3600,310000
11203,5592900105,2/13/15,4,1.75,2520,7200,1.0,0,2,5,7,1260,1260,1955,0,98056,47.4835,-122.192,2360,7300,435000
4197,3424089119,5/1/15,3,2.5,3240,60840,2.0,0,0,3,7,3240,0,1997,0,98045,47.5192,-121.764,2570,204732,654000
20967,2149800278,10/15/14,6,5.0,2732,7655,2.0,0,0,3,7,2732,0,2009,0,98002,47.3045,-122.211,3078,69993,343000
16777,6388930420,8/5/14,3,2.5,2380,19860,2.0,0,0,4,8,2380,0,1995,0,98056,47.5255,-122.173,2450,10220,582000
19832,7708210070,6/17/14,4,2.75,3070,7201,2.0,0,0,3,9,3070,0,2006,0,98059,47.4897,-122.147,2880,8364,535000
4045,8078490090,5/8/15,3,1.75,1670,11452,1.0,0,2,3,8,1670,0,1992,0,98022,47.1913,-122.015,1820,11152,245000
12326,5132000140,1/20/15,6,1.0,1370,5080,1.5,0,0,3,6,1120,250,1931,0,98106,47.5238,-122.35,1020,5080,415000
8182,1782000180,10/23/14,2,1.0,830,5100,1.0,0,0,4,7,830,0,1942,0,98126,47.5259,-122.379,1220,5100,350000
2730,4406000560,2/20/15,4,1.0,1540,8400,1.0,0,0,3,7,770,770,1971,0,98058,47.4278,-122.152,1520,9891,278500
1664,5649600435,1/8/15,5,2.0,1880,4179,1.0,0,0,3,7,940,940,1952,2000,98118,47.5536,-122.283,1350,5150,349950
16003,259601100,5/13/14,5,2.0,2290,7125,1.0,0,0,3,7,1190,1100,1964,0,98008,47.634,-122.119,1460,7920,580000
1476,5266300140,4/8/15,4,1.5,1840,10080,2.0,0,0,3,8,1840,0,1907,0,98118,47.5575,-122.279,1830,5040,701000
18281,2122049096,8/8/14,2,1.0,1040,13920,1.0,0,0,3,6,1040,0,1973,0,98198,47.3756,-122.306,1100,7575,182500
21309,6003000851,5/22/14,1,1.0,550,1279,2.0,0,0,3,7,550,0,2008,0,98122,47.616,-122.314,1460,1385,353000
4843,192300020,5/21/14,3,2.75,2100,10362,2.0,0,0,3,9,1510,590,1998,0,98045,47.4347,-121.417,2240,11842,525000
6220,1898600050,7/22/14,4,1.5,1360,9323,1.0,0,0,4,7,1360,0,1968,0,98023,47.3168,-122.401,1180,9611,257500
50,7231300125,2/17/15,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,345000
16192,7443000480,5/7/15,4,2.0,2750,5527,2.0,0,0,3,8,2130,620,1901,1987,98119,47.6513,-122.368,1290,1764,865000
8972,3352400325,7/24/14,3,1.5,1220,8345,1.5,0,0,3,7,1220,0,1931,0,98178,47.5038,-122.266,1880,10169,225000
1686,2767604247,7/11/14,2,2.5,1140,1181,3.0,0,0,3,8,1140,0,2007,0,98107,47.6713,-122.383,1220,1189,467000
21198,1760650950,4/23/15,3,2.5,1950,3825,2.0,0,0,3,7,1950,0,2013,0,98042,47.3588,-122.082,1950,3825,309000
15977,3975400190,11/4/14,4,2.0,1960,2166,1.5,0,0,4,7,1260,700,1926,0,98103,47.6545,-122.344,1670,4000,509000
4398,2123049175,12/10/14,3,1.5,1980,11214,1.0,0,0,3,7,1980,0,1959,0,98168,47.4696,-122.298,1510,9072,235000
15628,6844701680,3/25/15,2,1.5,1260,5100,1.0,0,0,3,7,1260,0,1941,0,98115,47.6914,-122.288,1640,5100,455000
724,2473400340,6/4/14,3,1.5,1650,9380,1.0,0,0,5,7,1130,520,1978,0,98058,47.4525,-122.162,1720,8856,320000
4691,7851980100,6/5/14,5,4.75,5180,17811,2.0,0,2,3,11,4070,1110,2001,0,98065,47.5405,-121.868,3960,15103,1080000
2805,5415000240,2/24/15,4,1.75,1520,14417,1.0,0,0,4,7,1520,0,1968,0,98065,47.526,-121.809,1600,10716,330000
21182,6824100007,3/26/15,3,3.0,1460,1200,3.0,0,0,3,8,1460,0,2006,0,98117,47.7,-122.367,1460,1245,427005
14542,6300500515,8/18/14,3,1.0,1020,4980,1.0,0,0,4,7,850,170,1941,0,98133,47.7039,-122.34,970,4980,350000
17152,3905090080,5/30/14,4,2.5,2560,8780,2.0,0,0,3,9,2560,0,1992,0,98029,47.5717,-121.991,2780,8357,642000
1026,7697920160,5/15/14,3,1.75,1490,6930,1.0,0,0,4,7,1490,0,1990,0,98030,47.3682,-122.179,1880,6861,245000
5418,5480900010,6/23/14,4,2.5,3030,29163,2.0,0,0,3,10,3030,0,1998,0,98053,47.6569,-122.02,2780,40669,835000
13514,3025059124,8/28/14,5,3.5,4330,11979,1.0,0,4,3,12,2090,2240,2008,0,98004,47.6251,-122.218,4320,12000,3170000
14581,7519000085,10/2/14,4,2.75,1660,5150,1.5,0,0,5,7,1280,380,1928,0,98117,47.6835,-122.362,1490,4017,685000
8088,3658700690,3/27/15,3,1.5,1200,3060,1.0,0,0,4,7,1060,140,1910,0,98115,47.679,-122.315,1410,3060,480000
5023,3244500078,8/22/14,3,2.5,4930,77536,2.0,0,0,3,9,3930,1000,1981,0,98072,47.7634,-122.139,2760,7351,600000
5853,3762900010,7/15/14,5,3.25,2180,7200,2.0,0,0,4,7,2180,0,1982,0,98034,47.7078,-122.234,1840,7644,473000
15528,8732130680,10/27/14,3,2.25,2140,9775,1.0,0,0,4,7,1470,670,1978,0,98023,47.306,-122.379,2050,8625,210000
17278,1771000290,12/3/14,3,1.75,1280,16200,1.0,0,0,3,8,1030,250,1976,0,98077,47.7427,-122.071,1160,10565,340000
123,3275860240,6/18/14,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,770000
1247,2473400570,5/16/14,3,2.0,1760,11410,1.0,0,0,5,7,1060,700,1977,0,98058,47.4528,-122.163,1680,9165,317000
820,6799300270,8/6/14,4,2.5,2030,4997,2.0,0,0,3,8,2030,0,2004,0,98031,47.393,-122.184,2095,5500,310950
580,7511800070,8/21/14,3,1.5,1820,10608,1.0,0,0,4,7,1820,0,1962,0,98003,47.3366,-122.306,1380,8976,264000
17372,6413600290,5/9/14,3,1.0,1030,6127,1.0,0,0,3,7,880,150,1947,0,98125,47.7192,-122.32,1610,6127,252500
9586,472000620,5/2/14,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,98117,47.6833,-122.4,2380,4750,790000
9868,8819900055,3/30/15,2,1.0,870,4280,1.0,0,2,4,6,870,0,1921,0,98105,47.6697,-122.29,1750,4280,503000
18890,2558700220,7/21/14,4,2.75,2100,7350,1.0,0,0,5,7,1240,860,1978,0,98034,47.7194,-122.172,2490,7350,503000
10049,6979900370,11/14/14,4,2.5,3240,22795,2.0,0,0,3,8,3240,0,1998,0,98053,47.6329,-121.969,2570,29761,574000
21518,2909310100,10/15/14,4,2.5,2380,5737,2.0,0,0,3,7,2380,0,2010,0,98023,47.2815,-122.356,2380,5396,332000
2948,7923500090,10/20/14,4,2.75,2380,15800,1.0,0,0,3,8,1680,700,1957,2001,98007,47.5929,-122.133,1950,11751,655500
4724,3205100110,4/21/15,3,1.75,1270,12420,1.0,0,0,4,7,1270,0,1962,0,98056,47.5387,-122.179,1560,9910,379600
6178,4058801310,10/9/14,2,1.0,930,6900,1.0,0,2,3,7,930,0,1952,0,98178,47.506,-122.242,1910,7194,287000
14961,1394300005,5/7/14,2,1.0,820,6400,1.0,0,0,4,7,820,0,1944,0,98126,47.55,-122.379,1490,6400,361280
8757,7812800515,10/25/14,4,1.5,1580,6200,1.0,0,0,3,6,790,790,1944,0,98178,47.4971,-122.24,1320,6499,159075
8396,1473200150,12/16/14,3,2.25,1370,1533,3.0,0,0,3,8,1370,0,2009,0,98133,47.7326,-122.343,1370,1125,315000
1959,1370802650,7/29/14,3,2.0,2660,4500,1.0,0,0,4,7,1330,1330,1922,0,98199,47.6391,-122.403,1790,5000,605000
15157,2423010130,3/6/15,3,1.75,1870,7030,1.0,0,0,3,7,1870,0,1977,0,98033,47.6999,-122.17,1820,7500,619100
14882,6799300130,6/23/14,4,2.5,1840,5550,2.0,0,0,3,8,1840,0,2004,0,98031,47.3937,-122.183,2030,5500,300000
12228,7682200320,4/9/15,3,2.0,1610,7575,1.0,0,0,4,7,1110,500,1965,0,98003,47.334,-122.3,1920,8400,197400
10746,1912100875,4/23/15,2,2.25,1370,1248,2.0,0,0,3,7,1200,170,2000,0,98102,47.6399,-122.32,1800,3360,555000
8915,2114700540,10/21/14,3,2.5,1320,4320,1.0,0,0,3,6,660,660,1918,0,98106,47.5327,-122.347,1190,4200,366000
4874,8856890020,2/24/15,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,1989,0,98058,47.4631,-122.126,1730,9686,265000
2541,3971700510,1/29/15,5,1.75,1830,16650,1.5,0,0,3,7,1610,220,1958,0,98155,47.7734,-122.315,1790,12743,336800
19104,3083000940,4/12/15,2,1.0,1040,4000,1.0,0,0,3,6,1040,0,1914,0,98144,47.5753,-122.303,1740,4000,341000
18187,3204300455,8/22/14,3,2.25,2930,6000,2.0,0,2,3,11,1920,1010,2000,0,98112,47.6301,-122.301,1870,5040,1390000
14297,8892900180,6/17/14,3,1.75,1160,6134,1.0,0,0,3,7,1160,0,1998,0,98002,47.3414,-122.218,1330,6301,250000
20726,291310390,9/4/14,3,2.25,1445,1087,2.0,0,0,3,7,1300,145,2005,0,98027,47.5339,-122.067,1410,1336,355000
930,6151800624,4/8/15,3,1.0,1250,18616,1.0,0,0,4,6,1250,0,1972,0,98010,47.3414,-122.047,1920,15654,288349
11051,5636010560,9/29/14,4,2.5,2390,9600,2.0,0,0,3,7,2390,0,1996,0,98010,47.3289,-122.001,1900,9603,314500
16889,1725059259,11/25/14,3,1.0,1630,16393,1.0,0,0,3,7,1630,0,1969,0,98033,47.6576,-122.186,1880,23497,437500
10236,8731900640,3/24/15,3,1.75,2380,10450,1.5,0,0,3,8,2380,0,1966,0,98023,47.3143,-122.37,2320,8500,315000
13823,5706200360,11/6/14,5,2.25,3020,10010,1.0,0,0,3,7,1510,1510,1959,0,98027,47.5249,-122.044,1760,10878,465000
15181,3204900010,2/11/15,3,2.5,2800,10603,2.0,0,0,3,9,2800,0,2001,0,98011,47.7528,-122.195,2580,10603,550000
13130,4443801590,4/2/15,2,1.0,950,3880,1.0,0,0,4,6,950,0,1919,0,98117,47.687,-122.389,1660,3880,520000
16532,526059259,8/19/14,3,1.75,1260,8487,1.0,0,0,3,7,1260,0,1970,0,98011,47.7664,-122.201,1890,13051,335500
17217,3024089049,6/9/14,2,1.75,1610,158558,1.5,0,0,2,6,1610,0,1948,0,98065,47.5319,-121.84,1800,3572,280000
6462,8732190460,5/5/15,3,1.75,1680,8725,1.0,0,0,3,8,1240,440,1978,0,98023,47.3107,-122.397,2020,8352,260000
18250,2891000450,7/7/14,3,1.0,1230,6000,1.0,0,0,4,7,1230,0,1967,0,98002,47.3256,-122.209,1240,6000,229500
11913,7852170370,5/16/14,3,2.5,2370,7875,2.0,0,0,3,9,2370,0,2003,0,98065,47.5427,-121.863,2660,7752,522500
17169,3449820380,4/2/15,3,2.5,2710,6174,2.0,0,0,3,9,2710,0,1998,0,98056,47.512,-122.174,2730,7266,564450
15050,2112700920,10/14/14,3,1.75,1630,4000,1.0,0,0,3,7,1100,530,1968,0,98106,47.5351,-122.353,1300,4000,285000
11320,3905040060,3/13/15,3,2.0,1860,5146,2.0,0,0,3,8,1860,0,1991,0,98029,47.5706,-121.999,1950,5146,477500
1464,7935000125,6/5/14,3,1.0,1050,7500,1.0,0,0,3,6,1050,0,1900,0,98136,47.5473,-122.396,1380,7500,440000
4696,1169000057,10/6/14,6,4.25,3100,9378,3.0,0,2,3,11,3100,0,1978,0,98112,47.6381,-122.314,3270,6334,1130000
16053,7856660130,12/4/14,5,2.75,3710,13874,1.5,0,3,4,9,2340,1370,1977,0,98006,47.5686,-122.154,3370,13874,1250000
6969,8079000190,10/28/14,4,2.5,2150,8173,2.0,0,0,3,8,2150,0,1987,0,98059,47.511,-122.153,2080,7620,415000
13451,1822069052,7/9/14,5,2.5,2850,209523,1.0,0,0,4,7,1930,920,1925,1968,98058,47.3939,-122.089,2220,209523,450000
14855,7525211520,3/18/15,3,2.5,1690,2752,2.0,0,0,3,8,1690,0,1979,0,98052,47.6332,-122.108,1690,2855,431000
6241,7300400170,9/10/14,4,2.5,2310,6200,2.0,0,0,3,8,2310,0,1998,0,98092,47.3321,-122.172,2480,6200,334000
9536,7349400610,8/12/14,4,2.25,2050,12581,2.0,0,0,4,7,2050,0,1978,0,98002,47.3215,-122.204,1620,7400,305000
6148,236400130,1/23/15,3,2.5,1820,7242,1.0,0,0,3,7,1220,600,1959,0,98188,47.4318,-122.292,1350,8214,239975
7888,6623400246,5/23/14,4,1.0,1350,11507,1.0,0,0,3,7,1350,0,1966,0,98055,47.4269,-122.197,1320,25675,200000
18694,7205510230,3/6/15,3,2.25,1700,7210,1.0,0,0,4,7,1250,450,1974,0,98003,47.3546,-122.318,2070,7300,280000
17435,6751500185,4/21/15,5,3.0,2750,10000,1.0,0,0,4,7,1730,1020,1957,0,98008,47.5878,-122.13,2520,10000,795000
18645,7445000115,5/27/14,3,1.5,2500,4774,1.5,0,2,3,7,1450,1050,1940,0,98107,47.6567,-122.358,1300,4000,725000
19681,9268850860,5/5/15,5,3.25,2710,2356,2.0,0,0,3,8,2230,480,2013,0,98027,47.5394,-122.028,2160,2108,715000
1837,290000055,5/16/14,2,1.0,2020,7200,1.0,0,3,4,7,1700,320,1947,0,98146,47.506,-122.384,2020,7200,720000
17123,5249803745,5/29/14,2,1.0,810,4800,1.0,0,0,3,6,810,0,1919,0,98118,47.5614,-122.27,1040,4800,367500
6067,3558000170,7/11/14,4,2.5,1920,4600,2.0,0,0,3,7,1920,0,2002,0,98038,47.3795,-122.023,2200,6600,329950
15603,2413910050,2/13/15,4,1.75,3280,35160,1.0,0,0,3,7,2080,1200,1976,0,98053,47.6728,-122.061,2510,31331,605000
19947,9510861140,7/14/14,3,2.5,2550,5376,2.0,0,0,3,9,2550,0,2004,0,98052,47.6647,-122.083,2250,4050,711000
49,5245600105,9/16/14,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,228000
15529,1310430130,10/9/14,4,2.75,2790,6600,2.0,0,0,3,9,2790,0,2000,0,98058,47.4362,-122.109,2900,6752,459000
18807,4040500100,10/20/14,7,2.25,2620,6890,2.0,0,0,4,7,2620,0,1961,0,98007,47.6123,-122.134,2070,7910,539000
19125,7237301210,11/18/14,3,2.5,1810,4113,2.0,0,0,3,7,1810,0,2004,0,98042,47.3715,-122.126,1880,4465,266490
8248,952004570,12/6/14,2,1.0,1140,3834,1.5,0,0,3,6,1140,0,1911,0,98126,47.5642,-122.378,1190,5750,320000
8425,1721801010,9/3/14,3,1.0,1790,6120,1.0,0,0,3,6,1790,0,1937,1964,98146,47.508,-122.337,830,6120,225000
7800,2767602855,4/29/15,5,3.5,2160,2323,3.0,0,0,3,9,2160,0,2007,0,98107,47.6726,-122.39,1750,4650,750000
20477,2700200040,2/23/15,4,2.5,2480,4334,2.0,0,0,3,8,2480,0,2012,0,98038,47.3826,-122.036,2480,5632,399000
21434,7140700690,3/12/15,3,1.75,1600,4888,1.0,0,0,3,6,1600,0,2014,0,98042,47.383,-122.097,2520,5700,239950
11792,1698900075,4/15/15,4,2.75,2890,4000,1.5,0,0,4,9,2190,700,1931,0,98109,47.6419,-122.351,2280,4000,740000
7981,9362000040,6/23/14,3,4.5,5230,17826,2.0,1,4,3,10,3740,1490,2005,0,98040,47.5348,-122.243,3670,17826,3400000
13561,2762600035,9/9/14,3,1.0,1530,15975,1.0,0,0,3,7,970,560,1952,0,98168,47.4766,-122.326,1540,15975,279000
12266,2313900810,4/2/15,4,2.0,2220,5821,1.5,0,0,4,7,1380,840,1916,0,98116,47.5723,-122.382,1850,5000,610000
9480,5054800110,2/13/15,5,2.25,2240,9652,2.0,0,0,3,7,2240,0,1990,0,98055,47.4249,-122.211,2180,11644,328000
19482,2856101105,5/27/14,3,2.5,1590,2550,3.0,0,0,3,7,1590,0,1985,0,98117,47.6772,-122.393,1260,5100,488000
12814,2215900410,5/8/15,4,2.75,2000,9083,2.0,0,0,4,7,2000,0,1992,0,98038,47.3511,-122.058,1690,7735,323000
9240,1446401540,9/16/14,3,1.0,1500,6600,1.0,0,0,2,6,1500,0,1970,0,98168,47.4845,-122.33,1730,6600,243000
3698,1314300018,3/24/15,3,3.25,1400,1343,2.0,0,0,3,7,1160,240,2005,0,98118,47.5483,-122.277,1400,1326,367500
7286,1923039022,11/20/14,2,1.75,1679,577605,2.0,0,0,3,9,1679,0,2001,0,98070,47.463,-122.475,1850,358934,700000
3451,3026059085,3/17/15,5,3.5,4090,290980,1.0,0,0,3,11,2920,1170,2002,0,98034,47.7161,-122.219,1880,9255,1290000
5971,1761100080,7/17/14,3,1.75,1290,7210,1.0,0,0,3,7,1290,0,1984,0,98023,47.2889,-122.363,1350,7509,205000
20142,321030010,10/15/14,4,2.5,2310,7384,2.0,0,0,3,8,2310,0,2010,0,98042,47.3737,-122.165,2310,7800,310000
1557,1972201820,10/16/14,4,2.0,2130,2620,1.5,0,0,5,7,1650,480,1919,0,98103,47.6515,-122.346,1330,2719,610000
11287,2223059053,3/11/15,2,1.0,800,17965,1.0,0,0,4,5,800,0,1942,0,98058,47.4693,-122.161,1500,8925,230000
21481,1972200555,7/14/14,3,1.75,1630,1500,3.0,0,0,3,8,1630,0,2014,0,98103,47.6536,-122.354,1570,1335,610000
15543,13001991,9/2/14,3,2.5,1520,2550,2.0,0,0,3,7,1520,0,2005,0,98108,47.5245,-122.33,1460,2550,207000
12269,2591020560,7/2/14,3,2.25,1550,5511,2.0,0,0,3,8,1550,0,1987,0,98033,47.6946,-122.185,1620,5511,481015
6451,7856410020,3/9/15,2,2.5,3010,16050,1.0,0,3,4,9,1260,1750,1976,0,98006,47.5643,-122.16,3010,11612,998160
9626,5101406384,10/20/14,4,1.5,1430,6380,1.5,0,0,4,9,1430,0,1930,0,98125,47.7014,-122.313,1220,5112,574500
